value,footprint,quantity,references
4.7uF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,2,"['C35', 'C9']"
20pF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,2,"['CY4', 'CY2']"
20pF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,2,"['CY3', 'CY1']"
100uF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,1,['C34']
4.7uF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,1,['C33']
100uF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,1,['C32']
100nF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,5,"['C31', 'C13', 'C10', 'C6', 'C3']"
100nF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,5,"['C30', 'C27', 'C12', 'C5', 'C2']"
100nF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,5,"['C29', 'C11', 'C7', 'C4', 'C1']"
1uF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,1,['C28']
10nF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,2,"['C26', 'C23']"
10nF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,2,"['C25', 'C22']"
10nF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,2,"['C24', 'C21']"
100pF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,2,"['C20', 'C17']"
100pF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,2,"['C19', 'C16']"
100pF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,2,"['C18', 'C15']"
10uF,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,1,['C14']
